               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065822,            0.022884,            0.059554,             0.33183,             0.44892,              0.3353,             0.13065,            0.046123,           0.0084823,            0.050846,            0.070071,           0.0033254,           0.0033254
                   1,            0.048291,            0.012917,            0.046083,             0.45212,             0.78508,             0.58278,             0.29818,             0.03897,           0.0060176,            0.037668,            0.039412,           0.0059995,           0.0059995
                   2,            0.045783,            0.010232,            0.036104,             0.59023,              0.8022,              0.7358,             0.35872,            0.039607,           0.0056009,            0.027547,           0.0080927,           0.0080137,           0.0080137
                   3,            0.040989,           0.0092805,            0.027382,             0.71893,             0.89129,             0.86416,             0.48754,            0.035109,           0.0052602,            0.017355,             0.00703,             0.00703,             0.00703
                   4,            0.038507,           0.0086671,            0.019151,             0.88713,               0.905,             0.91174,             0.48805,            0.034335,           0.0051405,            0.009837,             0.00703,             0.00703,             0.00703
                   5,            0.036077,           0.0084123,            0.012629,             0.94391,             0.91517,             0.94996,              0.5696,            0.030173,           0.0049637,           0.0062665,             0.00604,             0.00604,             0.00604
                   6,            0.033774,           0.0082147,            0.010386,             0.95948,             0.95011,             0.97988,             0.60856,            0.027767,           0.0048891,           0.0050212,             0.00505,             0.00505,             0.00505
                   7,            0.031396,           0.0077838,           0.0090501,              0.9423,              0.9539,             0.96928,             0.61286,             0.02648,           0.0046933,           0.0039364,             0.00406,             0.00406,             0.00406
                   8,            0.029792,           0.0077639,           0.0072995,             0.96082,             0.95578,              0.9773,             0.62738,            0.026104,           0.0046608,           0.0029549,             0.00307,             0.00307,             0.00307
                   9,            0.028542,           0.0074784,           0.0066214,             0.97325,             0.96272,             0.98564,             0.61094,             0.02775,           0.0046994,           0.0030103,             0.00208,             0.00208,             0.00208
